EventID,Ajans,Tarih,Enlem,Boylam,Derinlik,Rms,Tip,Büyüklük,Ülke,Ýl,Ýlçe,Köy,Diðer,
375966,DDA,2017-06-13 15:03:41Z,38.8653,26.4218,11.15,0.51000,Mw,3.6,-,-,-,-,Ege Denizi, 20.52 km. Karaburun (Izmir)
375951,DDA,2017-06-13 14:11:23Z,38.7860,26.4830,7.00,0.40000,ML,3.1,-,-,-,-,Ege Denizi, 12.38 km. Karaburun (Izmir)
375950,DDA,2017-06-13 14:09:26Z,38.8755,26.4248,4.04,0.29000,ML,3.0,-,-,-,-,Ege Denizi, 21.66 km. Karaburun (Izmir)
375935,DDA,2017-06-13 12:48:59Z,38.8643,26.3630,7.74,0.40000,ML,3.1,-,-,-,-,Ege Denizi, 20.94 km. Karaburun (Izmir)
375902,DDA,2017-06-13 09:46:49Z,39.1583,29.3706,7.01,0.67000,ML,3.1,Türkiye,Kütahya,Gediz,-,-
375883,DDA,2017-06-13 08:31:42Z,38.9438,26.1686,7.01,0.25000,Mw,3.5,-,-,-,-,Ege Denizi, 35.63 km. Karaburun (Izmir)
375882,DDA,2017-06-13 08:29:51Z,38.8011,26.4506,7.02,0.64000,ML,3.0,-,-,-,-,Ege Denizi, 13.68 km. Karaburun (Izmir)
375880,DDA,2017-06-13 08:16:26Z,38.7988,26.4508,7.00,0.23000,ML,3.2,-,-,-,-,Ege Denizi, 13.44 km. Karaburun (Izmir)
375870,DDA,2017-06-13 07:36:54Z,36.4788,42.3916,27.52,0.47000,ML,3.0,Irak,Talafar,-,-,-
375847,DDA,2017-06-13 06:21:52Z,38.8606,26.3623,7.00,0.13000,ML,3.0,-,-,-,-,Ege Denizi, 20.55 km. Karaburun (Izmir)
375846,DDA,2017-06-13 06:19:58Z,38.8465,26.4233,7.09,0.47000,Mw,4.0,-,-,-,-,Ege Denizi, 18.44 km. Karaburun (Izmir)
375843,DDA,2017-06-13 06:05:35Z,38.9010,26.3280,7.00,0.19000,Mw,3.5,-,-,-,-,Ege Denizi, 25.67 km. Karaburun (Izmir)
375805,DDA,2017-06-13 04:29:20Z,38.8255,26.3705,7.12,0.28000,Mw,3.5,-,-,-,-,Ege Denizi, 16.60 km. Karaburun (Izmir)
375780,DDA,2017-06-13 03:23:52Z,38.8950,26.3478,7.06,0.30000,ML,3.1,-,-,-,-,Ege Denizi, 24.56 km. Karaburun (Izmir)
375768,DDA,2017-06-13 02:29:21Z,38.8941,26.3325,7.00,0.80000,Mw,3.4,-,-,-,-,Ege Denizi, 24.82 km. Karaburun (Izmir)
375753,DDA,2017-06-13 01:35:08Z,38.8658,26.4236,7.01,0.30000,ML,3.1,-,-,-,-,Ege Denizi, 20.58 km. Karaburun (Izmir)
375712,DDA,2017-06-12 22:52:34Z,38.9068,26.3593,7.00,0.12000,ML,3.2,-,-,-,-,Ege Denizi, 25.62 km. Karaburun (Izmir)
375711,DDA,2017-06-12 22:48:38Z,38.9108,26.3441,7.00,0.21000,Mw,3.6,-,-,-,-,Ege Denizi, 26.34 km. Karaburun (Izmir)
375689,DDA,2017-06-12 21:29:27Z,38.8238,26.2911,7.00,0.37000,Mw,3.6,-,-,-,-,Ege Denizi, 19.01 km. Karaburun (Izmir)
375688,DDA,2017-06-12 21:25:40Z,38.8760,26.2961,12.53,0.34000,Mw,4.0,-,-,-,-,Ege Denizi, 24.11 km. Karaburun (Izmir)
375691,DDA,2017-06-12 21:25:02Z,38.8641,26.0908,6.44,0.43000,ML,3.4,-,-,-,-,Ege Denizi, 32.66 km. Karaburun (Izmir)
375674,DDA,2017-06-12 20:34:31Z,38.8791,26.4460,0.00,0.48000,ML,3.5,-,-,-,-,Ege Denizi, 22.19 km. Karaburun (Izmir)
375664,DDA,2017-06-12 19:42:04Z,38.8246,26.3503,7.00,0.14000,ML,3.0,-,-,-,-,Ege Denizi, 17.02 km. Karaburun (Izmir)
